id,from,element,trigger,action,target,guard,region
A-S01-001,S01,action_row,click,navigate,S03,,task_list
A-S01-002,S01,task_row,click,navigate,S15,,task_list
A-S01-003,S01,task_checkbox,click,mutate,,,task_list
A-S01-004,S01,btn_create_task,click,open_overlay,M05,,topbar
A-S01-006,S01,filter_priority,change,mutate,,,filter_bar
A-S01-007,S01,btn_quick_call,click,open_overlay,M08,,task_list
A-S01-008,S01,btn_quick_zalo,click,open_overlay,M08,,task_list
A-S01-009,S01,btn_call_mode,click,navigate,S14,,task_list
A-S01-LSN01,S01,,cache.refreshed,mutate,,,
A-S01-LSN02,S01,,task.due.soon,mutate,,,
A-S01-LSN03,S01,,nav.item.selected,navigate,S01,,
A-S01-LSN04,S01,,action_queue.task_requested,open_overlay,M05,,
A-S01-LSN05,S01,,action_queue.card_clicked,navigate,S03,,
A-S01-LSN06,S01,,filter_bar.changed,mutate,,,
A-S01-LSN07,S01,,filter_bar.cleared,mutate,,,
A-S01-LSN08,S01,,action_queue.call_mode_requested,navigate,S14,,
A-S01-010,S01,filter_has_script,change,mutate,,,filter_bar
A-S01-011,S01,btn_script_call,click,navigate,S14,,task_list
A-S01-LSN09,S01,,worklist.load_complete,mutate,,,
A-S01-012,S01,filter_product,change,mutate,,,filter_bar
A-S01-013,S01,filter_hide_contacted,change,mutate,,,filter_bar
A-S01-014,S01,filter_q,input,mutate,,,filter_bar
A-S01-015,S01,filter_min_value,change,mutate,,,filter_bar
A-S01-021,S01,filter_strategic_tier,change,mutate,,,filter_bar
A-S01-022,S01,filter_value_group,change,mutate,,,filter_bar
A-S01-016,S01,btn_dismiss_action,click,mutate,,,task_list
A-S01-017,S01,btn_snooze_action,click,mutate,,,task_list
A-S01-018,S01,btn_cancel_task,click,mutate,,,task_list
A-S01-019,S01,btn_reschedule_task,click,open_overlay,M05,,task_list
A-S01-020,S01,btn_refresh,click,mutate,,,topbar
A-S02-001,S02,customer_row,click,navigate,S03,,result_list
A-S02-002,S02,btn_create_party,click,open_overlay,M02,,main
A-S02-003,S02,filter_value_group,change,mutate,,,topbar
A-S02-004,S02,filter_status,change,mutate,,,topbar
A-S02-005,S02,filter_owner,change,mutate,,,topbar
A-S02-006,S02,filter_tag,change,mutate,,,topbar
A-S02-007,S02,pagination_next,click,mutate,,,result_list
A-S02-008,S02,pagination_prev,click,mutate,,,result_list
A-S02-LSN01,S02,,global_search.submitted,mutate,,,
A-S02-LSN02,S02,,global_search.query_changed,mutate,,,
A-S02-LSN03,S02,,global_search.create_requested,open_overlay,M02,,
A-S02-LSN04,S02,,filter_bar.changed,mutate,,,
A-S02-LSN05,S02,,filter_bar.cleared,mutate,,,
A-S02-LSN06,S02,,tag_chips.chip_clicked,mutate,,,
A-S03-001,S03,btn_back,click,navigate,S02,,topbar
A-S03-002,S03,btn_assign_owner,click,open_overlay,M04,,topbar
A-S03-003,S03,btn_add_tag,click,open_overlay,M03,,topbar
A-S03-004,S03,tab_insight,click,show_panel,P01,,tab_bar
A-S03-005,S03,tab_orders,click,show_panel,P02,,tab_bar
A-S03-006,S03,tab_timeline,click,show_panel,P03,,tab_bar
A-S03-007,S03,tab_tasks,click,show_panel,P04,,tab_bar
A-S03-008,S03,tab_notes,click,show_panel,P05,,tab_bar
A-S03-009,S03,tab_chat,click,show_panel,P06,,tab_bar
A-S03-010,S03,btn_edit_custom_fields,click,open_overlay,M06,,sidebar.core_info
A-S03-011,S03,btn_log_activity,click,open_overlay,M08,,topbar
A-S03-012,S03,btn_create_task,click,open_overlay,M05,,topbar
A-S03-013,S03,btn_edit_contacts,click,open_overlay,M15,,sidebar.contact
A-S03-014,S03,btn_edit_address,click,open_overlay,M15,,sidebar.contact
