8	49	Sales Ops Weekly Review [Retail]
9	49	Sales Ops Monthly Summary [Retail]
13	52	Marketing Monthly Analysis [Retail]
14	52	Customer Retention & Lifecycle [Retail]
15	93	Customer Intelligence Monthly [Cross]
26	48	Order Listing [Retail]
27	48	Social Commerce Operations [Retail]
28	94	Logistics Operations Center [All]
30	93	Product Performance [Cross]
31	46	Sales Monthly Business Review [All]
32	93	Shopee Channel Economics [Cross]
33	93	Channel Profitability Monthly [Cross]
34	92	Finance P&L [All]
35	92	Order Profitability [All]
36	92	Product Profitability [All]
37	52	Marketing ROI [Retail]
38	48	Order Detail [Retail]
40	95	Ingestion Health Monitor [Internal]
41	48	Daily Sales [Retail]
42	48	Yesterday's Sales [Retail]
43	46	CEO Weekly Pulse [All]
44	46	CEO Monthly Scorecard [All]
46	52	Promotion Analysis [Retail]
47	52	Marketing Weekly Tracker [Retail]
48	52	Customer Operational [Retail]
49	60	B2B Daily Sales [B2B]
50	60	B2B Orders Tracking [B2B]
51	47	US CrossBorder Daily [US]
73	91	Welcome to Ch?Pulse BI
74	92	Cost Ledger Analyzer [All]
75	92	Return Impact Analysis [All]
76	92	Product Cost-to-Margin Heatmap [Cross]
77	92	Channel P&L Deep Dive [Cross]
78	92	Accounting Reconciliation Cockpit [Internal]
