Display Name,Channel Ref,Type
FaceBookFJPTViet,8075219|,Specific
FaceBookJPC,8075218|,Specific
Gosumo,7737135|,Specific
CS,7503763|,Specific
Tiki Cross Border,7312199|,Specific
POPS,7165820|,Specific
Leflair,7139806|,Specific
Chợ sỉ,7054173|,Specific
Test Sản Phẩm,6656236|,Specific
Chiaki,6569908|,Specific
TiktokShop,6500681|,Specific
Selly,5686178|,Specific
Ưu đãi Nhân Viên,5384969|,Specific
Quà Tặng,5384956|,Specific
GrabMart,4999848|,Specific
WebOrder,4609259|,Specific
Telesale,4517138|,Specific
Instagram,4461848|,Specific
Đại Lý,4164989|,Specific
US,4110169|,Specific
Sendo,3988160|,Specific
Other,3988159|,Specific
Shopee,3988158|,Specific
Tiki,3988156|,Specific
Lazada,3988155|,Specific
Zalo,3988154|,Specific
Facebook,3988153|,Specific
Web,3988152|,Specific
Shopee - Fine Japan Vietnam,3988158_1|,Specific
Shopee - thehealthyus,3988158_2|,Specific
Shopee - JPC SHOP,3988158_3|,Specific
Shopee - JPC OFFICIAL,3988158_4|,Specific
Shopee - FG CARE,3988158_5|,Specific
Shopee - FWG Vietnam,3988158_6|,Specific
Shopee - Fine Care,3988158_7|,Specific
Shopee - FINE WORLD GROUP,3988158_8|,Specific
Lazada - Fine Japan Vietnam,3988155_1|,Specific
Lazada - JPC SHOP,3988155_2|,Specific
Lazada - The Healthy Us,3988155_3|,Specific
Lazada - Fine Japan store,3988155_4|,Specific
Lazada - FINE WORLD GROUP,3988155_5|,Specific
Lazada - FG CARE,3988155_6|,Specific
Lazada - Fine Care,3988155_7|,Specific
Tiki - FINE WORLD GROUP,3988156_1|,Specific
Tiki - FG GLOBAL,3988156_2|,Specific
16 Trương Định,3988157|452566,Generic (Pos)
Hậu Giang,3988157|494912,Generic (Pos)
MM Market An Phú,3988157|624127,Generic (Pos)
TheHealthyUs,3988157|639290,Generic (Pos)
ShowroomVVT,3988157|657377,Generic (Pos)
