cashflow_line,period_month,direction,planned_amount,payment_week,item_type,item_label,item_target,target_month,notes
Bán hàng & phải thu KH,2026-07-01,inflow,480000000,spread,recurring,,,,
Bán hàng & phải thu KH,2026-08-01,inflow,480000000,spread,recurring,,,,
Bán hàng & phải thu KH,2026-09-01,inflow,480000000,spread,recurring,,,,
Bán hàng & phải thu KH,2026-10-01,inflow,480000000,spread,recurring,,,,
Bán hàng & phải thu KH,2026-11-01,inflow,480000000,spread,recurring,,,,
Bán hàng & phải thu KH,2026-12-01,inflow,480000000,spread,recurring,,,,
Chi lương,2026-07-01,outflow,240000000,1,recurring,,,,Placeholder — update
Chi lương,2026-08-01,outflow,240000000,1,recurring,,,,
Chi lương,2026-09-01,outflow,240000000,1,recurring,,,,
Chi lương,2026-10-01,outflow,240000000,1,recurring,,,,
Chi lương,2026-11-01,outflow,240000000,1,recurring,,,,
Chi lương,2026-12-01,outflow,240000000,1,recurring,,,,
Phải trả khác & bảo hiểm,2026-07-01,outflow,100000000,3,recurring,,,,
Phải trả khác & bảo hiểm,2026-08-01,outflow,100000000,3,recurring,,,,
Phải trả khác & bảo hiểm,2026-09-01,outflow,100000000,3,recurring,,,,
Phải trả khác & bảo hiểm,2026-10-01,outflow,100000000,3,recurring,,,,
Phải trả khác & bảo hiểm,2026-11-01,outflow,100000000,3,recurring,,,,
Phải trả khác & bảo hiểm,2026-12-01,outflow,100000000,3,recurring,,,,
Thanh toán nhà cung cấp,2026-07-01,outflow,15000000,4,recurring,,,,
Thanh toán nhà cung cấp,2026-08-01,outflow,15000000,4,recurring,,,,
Thanh toán nhà cung cấp,2026-09-01,outflow,15000000,4,recurring,,,,
Thanh toán nhà cung cấp,2026-10-01,outflow,15000000,4,recurring,,,,
Thanh toán nhà cung cấp,2026-11-01,outflow,15000000,4,recurring,,,,
Thanh toán nhà cung cấp,2026-12-01,outflow,15000000,4,recurring,,,,
Chi phí bán hàng & QLDN,2026-07-01,outflow,20000000,spread,recurring,,,,
Chi phí bán hàng & QLDN,2026-08-01,outflow,20000000,spread,recurring,,,,
Chi phí bán hàng & QLDN,2026-09-01,outflow,20000000,spread,recurring,,,,
Chi phí bán hàng & QLDN,2026-10-01,outflow,20000000,spread,recurring,,,,
Chi phí bán hàng & QLDN,2026-11-01,outflow,20000000,spread,recurring,,,,
Chi phí bán hàng & QLDN,2026-12-01,outflow,20000000,spread,recurring,,,,
