sapo_pack_sku,sapo_pack_unit,sapo_base_sku,sapo_base_unit,units_per_pack,misa_join_key,misa_qty_multiplier,notes
VCSP20002H030,Hộp,VCSP20002H030,Hộp,30,VCSP20002G001,30,"Metabo: Sapo Hộp (30 gói); MISA records as Gói (G001). Multiplier 30."
VTSP20002H030,Hộp,VTSP20002H030,Hộp,30,VCSP20002G001,30,"Metabo (*) VTS variant: same as VCSP20002H030 — MISA uses gói G001."
VTST23023L001,Lọ,VTST23023L001,Lọ,1,VCST21004L001,1,"Fine Japan Shark Cartilage Extract: Sapo 2023 SKU; MISA still uses older 2021 code VCST21004L001."
VTSL24010H010,Hộp,VTSL24010C001,Chai,10,VCSL19001C001,1,"FIX 2026-06-10: MISA records Hyaluron&Collagen in Hop not Chai; mult 10->1 (was x10 COGS overcount). units_per_pack=10 physical."
VTSL24009H010,Hộp,VTSL24009C001,Chai,10,VCSL21002C001,1,"FIX 2026-06-10: MISA records Cordyceps Plus in Hop not Chai; mult 10->1. units_per_pack=10 physical."
VCSL19001H010,Hộp,VCSL19001C001,Chai,10,VCSL19001C001,1,"FIX 2026-06-10: override AUTO_PACKSIZE; MISA records Hyaluron&Collagen in Hop; mult=1 (was 10)."
VCSL21002H010,Hộp,VCSL21002C001,Chai,10,VCSL21002C001,1,"FIX 2026-06-10: override AUTO_PACKSIZE; MISA records Cordyceps Plus in Hop; mult=1 (was 10)."
VTSL21001H010,Hộp,VTSL21001C001,Chai,10,VCSL21001C001,1,"FIX 2026-06-10: override AUTO_PACKSIZE; MISA records Swallow Nest in Hop; mult=1 (was 10)."
PVN145,Combo,VCSC20001L001,Lọ,2,VCSC20001L001,2,"Combo 2 lọ Cordyceps: 2 × VCSC20001L001. Supply tracking only; no MISA counterpart."
PVN146,Combo,VCSL21002H010,Hộp,2,VCSL21002H010,2,"Combo 2 hộp Cordyceps Plus: 2 × VCSL21002H010. Supply tracking only."
PVN147,Combo,VCSL19001H010,Hộp,2,VCSL19001H010,2,"Combo 2 hộp Collagen Plus: 2 × VCSL19001H010. Supply tracking only."
PVN148,Combo,VCSL21001H010,Hộp,2,VCSL21001H010,2,"Combo 2 hộp Collagen Yến (Swallow Nest): 2 × VCSL21001H010. Confirm with product team."
PVN149,Combo,VCSC19002L001,Lọ,2,VCSC19002L001,2,"Combo 2 hộp Fucoidan: 2 × VCSC19002L001. Supply tracking only."
PVN150,Combo,VCST21004L001,Lọ,2,VCST21004L001,2,"Combo 2 hộp Shark Cartilage: 2 × VCST21004L001. Supply tracking only."
PVN151,Combo,VCST21003L001,Lọ,2,VCST21003L001,2,"Combo 2 hộp Natto Kinase: 2 × VCST21003L001. Supply tracking only."
VB24010,Combo,VCSC20001L001,Lọ,2,VCSC20001L001,2,"Combo 2 lọ Cordyceps: 2 × VCSC20001L001. Supply tracking only."
VB24011,Combo,VCSC20001L001,Lọ,3,VCSC20001L001,3,"Combo 3 lọ Cordyceps: 3 × VCSC20001L001. Supply tracking only."
VB23007,Combo,VCST21004L001,Lọ,2,VCST21004L001,2,"Combo 2 hộp Shark Cartilage (VB2023): 2 × VCST21004L001. Supply tracking only."
CB.3NAT,Combo,VCST21003L001,Lọ,3,VCST21003L001,3,"Combo 3 Natto Kinase: 3 × VCST21003L001. Supply tracking only."
CB.3COR,Combo,VCSL21002C001,Chai,3,VCSL21002C001,3,"Combo 3 ĐTHТ Viên: mapped to Cordyceps Plus (VCSL21002C001). Confirm with product team."
CB.3Pink,Combo,VCSL19001H010,Hộp,3,VCSL19001H010,3,"Combo 3 hộp Collagen Hồng: 3 × VCSL19001H010. Supply tracking only."
CB3Fu,Combo,VCSC19002L001,Lọ,3,VCSC19002L001,3,"Combo 3 hộp Fucoidan: 3 × VCSC19002L001. Supply tracking only."
